Year,SampleID,LakeName,LakeID,Depth,DOY,DOYFrac,TP_ugL,SRP_ugL,TSS_mgL,VSS_mgL,ISS_mgL,TN_mgL,Nitrate_mgL,Secchi_m,Chla_ugL,Phyco_ugL
2018,A18012134004,Blue,12,Epi,134,2018.367123,128.8,2.9,33,23,10,1.3,0,0.5,14,3.5
2018,A18012176003,Blue,12,Epi,176,2018.482192,107.1,2.9,22,11,11,1.16,0.02,0.4,23,23
2018,A18012225010,Blue,12,Epi,225,2018.616438,151,2.9,42,27,15,1.62,0.02,0.3,105,57
2018,P18-243-BL-H02,Blue,12,Hypo,243,2018.665753,77.588,19.6915,,,,2.97165,,,,
2018,P18-243-BL-E01,Blue,12,Epi,243,2018.665753,74.83,6.5038,,,,2.9728,,,15.3262892,31.2
2018,P18135CEH01,Center,19,Hypo,135,2018.369863,54.85,1.35,13,9,4,,,,,
2018,P18135CEE01,Center,19,Epi,135,2018.369863,38.1,1.55,20,7,13,1.06495,0.26284,1.235,11.5786428,
2018,P18-150-CE-H01,Center,19,Hypo,150,2018.410959,37.7,4.9,4,,,,,,,
2018,P18-150-CE-E01,Center,19,Epi,150,2018.410959,18.85,4.5,16,6,10,6.1014,0.23403,1.84,8.7051516,
2018,A18019150001,Center,19,Epi,150,2018.411,49.9,5.9,7,6.5,0.5,1.4,0,1.5,3,19
2018,P18-163-CE-H01,Center,19,Hypo,163,2018.446575,31.65,1.89855,10,,,,,,,
2018,P18-163-CE-E01,Center,19,Epi,163,2018.446575,20.5,2.19525,2,,,12.0755,0.202445,1.49,3.3822328,37.5713296
2018,P18-178-CE-H01,Center,19,Hypo,178,2018.487671,245.6,3.9872,,,,,,,,
2018,P18-178-CE-E01,Center,19,Epi,178,2018.487671,47.6,2.5784,4,3,1,1.6517,0.219945,0.725,27.6524752,51.228288
2018,P18-192-CE-H01,Center,19,Hypo,192,2018.526027,48.8,2.17775,18,11,7,,,,,
2018,P18-192-CE-E01,Center,19,Epi,192,2018.526027,50.4,1.587,28,24,4,1.65245,0.082968,0.425,36.609192,62.964544
2018,A18019198001,Center,19,Epi,198,2018.542,48.4,2.9,8,8,0,1.8,0.02,0.6,29,49
2018,P18-206-CE-H01,Center,19,Hypo,206,2018.564384,62.85,2.97905,22,16,6,,,,,
2018,P18-206-CE-E01,Center,19,Epi,206,2018.564384,45,5.42915,19,19,0,1.53705,0.089087,0.665,19.9862652,54.6653344
2018,P-18-219-CE-H01,Center,19,Hypo,219,2018.6,40,3.0943,50,20,30,,,,,
2018,P18-219-CE-E01,Center,19,Epi,219,2018.6,62.2,2.6573,27,9,18,1.6297,0.0771135,0.64,29.603804,68.3173616
