Year,Sample ID,LakeNumber,Lake Name,DOY,DOYFrac,Depth,Chl_ugL,Phyco_ugL,TSS_mgL,VSS_mgL,ISS_mgL,TP_ugL,SRP_ugL,Nitrate_mgL,TN_mgL,Secchi_m
2019,A19012140010,12,Blue,140,2019.383562,Epi,3.95,12.33,10,0,10,74.35,11.54,0.02,0.92,1.66
2019,A19012189012,12,Blue,189,2019.517808,Epi,9.88,3.7,20,1,19,184.4,5.8,0.02,1.41,2.8
2019,A19012231004,12,Blue,231,2019.632877,Epi,7.83,25.9,17,7,10,88.5,5.8,0.02,0.95,0.43
2019,A19019148007,19,Center,148,2019.405479,Epi,6.53,49.35,1,1,1,118.4,74.35,0.07,0.86,1.35
2019,P1901915501E,19,Center,155,2019.424658,Epi,15.42,22.28,19,19,0,63.06,2.71,0.32,1.25,
2019,P1901915501H,19,Center,155,2019.424658,Hypo,,,24,20,4,61.69,32.17,,,
2019,P1901916901E,19,Center,169,2019.463014,Epi,7.58,10.51,10,6,4,77.02,7.2,0.16,0.92,
2019,P1901916901H,19,Center,169,2019.463014,Hypo,,,25,7,18,133.44,19.86,,,
2019,P1901919001E,19,Center,190,2019.520548,Epi,26.6,49.21,,,,156.73,10.52,0.16,1.15,
2019,P1901919001H,19,Center,190,2019.520548,Hypo,,,9,0,9,104.8,9.63,,,
2019,A19019203001,19,Center,203,2019.556164,Epi,13.72,12.07,13,7,6,74.3,5.8,0.04,1.13,0.58
2019,P1901920401E,19,Center,204,2019.558904,Epi,8.17,52.97,2,2,0,67.23,18.87,0.26,1.34,
2019,P1901920401H,19,Center,204,2019.558904,Hypo,,,10,10,0,67.64,22.86,,,
2019,P1901921901E,19,Center,219,2019.6,Epi,9.36,87.01,11,11,0,62.08,19.56,0.02,1.23,
2019,P1901921901H,19,Center,219,2019.6,Hypo,,,9,9,0,75.14,19.66,,,
2019,A19019246006,19,Center,246,2019.673973,Epi,5.93,36.4,11,8,3,63.95,5.8,2,2.96,0.68
2019,A19036150003,36,Five Island,150,2019.410959,Epi,51.18,147.14,14,14,0,68.25,5.8,0.02,1.48,0.42
2019,P1903615501E,36,Five Island,155,2019.424658,Epi,67.91,56.38,29,29,0,108.14,4.87,2.81,2.6,
2019,P1903615501H,36,Five Island,155,2019.424658,Hypo,,,15,11,4,90.43,,,,
2019,P1903617001E,36,Five Island,170,2019.465753,Epi,7.58,18.94,1,1,0,32.2,0.11,1.44,2.09,
2019,P1903617001H,36,Five Island,170,2019.465753,Hypo,,,11,1,10,72.9,84.42,,,
2019,P1903619001E,36,Five Island,190,2019.520548,Epi,38.04,62,,,,223.23,20.49,0.52,2.05,
2019,P1903619001H,36,Five Island,190,2019.520548,Hypo,,,30,22,8,203.13,41.45,,,
2019,A19036204007,36,Five Island,204,2019.558904,Epi,18.13,45.13,20,14,6,206.35,5.8,0.02,1.66,0.2
2019,P1903620401E,36,Five Island,204,2019.558904,Epi,11.16,151.73,39,24,15,353.98,28.85,0.14,2.33,
2019,P1903620401H,36,Five Island,204,2019.558904,Hypo,,,46,34,12,248.22,49.74,,,
2019,P1903621801E,36,Five Island,218,2019.59726,Epi,7.59,37.08,21,11,10,201.37,35.6,0.08,1.67,
2019,P1903621801H,36,Five Island,218,2019.59726,Hypo,,,59,21,38,361.69,148.25,,,
2019,A19036247004,36,Five Island,247,2019.676712,Epi,6.38,88.33,12,10,2,113.85,5.8,0.02,1.42,0.38
2019,A19090143004,90,North Twin,143,2019.391781,Epi,38.22,223.06,14,14,0,94.8,5.8,0.02,0.72,0.28
